UMC;sponsor
Aachen;RWTH Aachen University
Augsburg;Klinikum Augsburg
Berlin;Charité-Universitätsmedizin Berlin
Bochum;"Ruhr University Bochum; Universitätsklinikum Knappschaftskrankenhaus Bochum"
Bonn;University of Bonn
Dresden;Dresden University of Technology
Duisburg-Essen;University Duisburg-Essen
Düsseldorf;Heinrich Heine University Düsseldorf
Erlangen;University Erlangen-Nuremberg
Frankfurt;Goethe University
Freiburg;University of Freiburg
Giessen;"University of Giessen; University Hospital Giessen and Marburg"
Göttingen;University of Göttingen
Greifswald;Medical University Greifswald
Halle-Wittenberg;Martin Luther University Halle-Wittenberg
Hamburg;University of Hamburg
Hannover;Hannover Medical School
Heidelberg;"Heidelberg University Hospital; Heidelberg University; Renal Clinic Heidelberg"
Homburg;Saarland University
Jena;Friedrich Schiller University Jena
Kiel;"Schleswig-Holstein University Hospital; University of Kiel"
Köln;University of Cologne
Leipzig;Leipzig University
Lübeck;Schleswig-Holstein University Hospital
Magdeburg;Otto von Guericke University Magdeburg
Mainz;Johannes Gutenberg University of Mainz
Marburg;"Philipps-University Marburg; University Hospital Giessen and Marburg"
München LMU;University of Munich (Ludwig-Maximilians)
München TU;Technical University of Munich
Münster;University of Münster
Regensburg;University of Regensburg
Rostock;Universität Rostock
Tübingen;"University Hospital Tübingen; Eberhard Karls University Tübingen"
Ulm;University of Ulm
Witten/Herdecke;University of Witten/Herdecke
Würzburg;Julius Maximilian University of Würzburg
